Country,date,total_cases
Norway,2023-03-17,1480160
Norway,2023-03-24,1480599
Norway,2023-03-31,1481130
Norway,2023-04-07,1481773
Norway,2023-04-14,1482277
Norway,2023-04-21,1482834
Norway,2023-04-28,1483311
Norway,2023-05-05,1483734
Norway,2023-05-12,1484132
Norway,2023-05-19,1484471
Norway,2023-05-26,1484726
Norway,2023-06-02,1484966
Norway,2023-06-09,1485139
Norway,2023-06-16,1485335
Norway,2023-06-23,1485494
Norway,2023-06-30,1485515
Norway,2023-07-07,1485699
Norway,2023-07-14,1485883
Norway,2023-07-21,1485975
Norway,2023-07-28,1486048
Norway,2023-08-04,1486167
Norway,2023-08-11,1486301
Norway,2023-08-18,1486483
Norway,2023-08-25,1486695
Norway,2023-09-01,1486958
Norway,2023-09-08,1487386
Norway,2023-09-15,1487845
Norway,2023-09-22,1488254
Norway,2023-09-29,1488692
Norway,2023-10-06,1489076
Norway,2023-10-13,1489459
Norway,2023-10-20,1489459
Norway,2023-10-27,1489459
Norway,2023-11-03,1489459
Norway,2023-11-10,1490640
Norway,2023-11-17,1492062
Norway,2023-11-24,1493674
Norway,2023-12-01,1495481
Norway,2023-12-08,1497336
Norway,2023-12-15,1499294
Norway,2023-12-22,1501341
Norway,2023-12-29,1502919
Norway,2024-01-05,1503931
Norway,2024-01-12,1504834
Norway,2024-01-19,1505451
Norway,2024-01-26,1505855
Norway,2024-02-02,1506158
Norway,2024-02-09,1506397
Norway,2024-02-16,1506564
Norway,2024-02-23,1506709
Norway,2024-03-01,1506834
Norway,2024-03-08,1506937
Norway,2024-03-15,1507017
Norway,2024-03-22,1507098
Norway,2024-03-29,1507155
Norway,2024-04-05,1507197
Norway,2024-04-12,1507270
Norway,2024-04-19,1507334
Norway,2024-04-26,1507388
Norway,2024-05-03,1507482
Norway,2024-05-10,1507569
Norway,2024-05-17,1507676
Norway,2024-05-24,1507772
Norway,2024-05-31,1507899
Norway,2024-06-07,1508049
Norway,2024-06-14,1508232
Norway,2024-06-21,1508495
Norway,2024-06-28,1508867
Norway,2024-07-05,1509367
Norway,2024-07-12,1509883
Norway,2024-07-19,1510561
Norway,2024-07-26,1511220
Norway,2024-08-02,1511902
Sweden,2020-01-09,0
Sweden,2020-01-16,0
Sweden,2020-01-23,0
Sweden,2020-01-30,0
Sweden,2020-02-06,0
Sweden,2020-02-13,1
Sweden,2020-02-20,1
Sweden,2020-02-27,1
Sweden,2020-03-05,14
Sweden,2020-03-12,179
Sweden,2020-03-19,994
Sweden,2020-03-26,1869
Sweden,2020-04-02,3664
Sweden,2020-04-09,6833
Sweden,2020-04-16,10449
Sweden,2020-04-23,14277
Sweden,2020-04-30,18568
Sweden,2020-05-07,22439
Sweden,2020-05-14,26574
Sweden,2020-05-21,30463
Sweden,2020-05-28,34171
Sweden,2020-06-04,38396
Sweden,2020-06-11,44220
Sweden,2020-06-18,51387
Sweden,2020-06-25,58557
Sweden,2020-07-02,65918
Sweden,2020-07-09,70297
Sweden,2020-07-16,72685
Sweden,2020-07-23,74303
Sweden,2020-07-30,75687
Sweden,2020-08-06,77247
Sweden,2020-08-13,79226
Sweden,2020-08-20,81288
Sweden,2020-08-27,82981
Sweden,2020-09-03,84190
Sweden,2020-09-10,85503
Sweden,2020-09-17,87056
Sweden,2020-09-24,89109
Sweden,2020-10-01,91994
Sweden,2020-10-08,95647
Sweden,2020-10-15,99920
Sweden,2020-10-22,105380
Sweden,2020-10-29,114342
Sweden,2020-11-05,132033
Sweden,2020-11-12,156638
Sweden,2020-11-19,188473
Sweden,2020-11-26,219576
Sweden,2020-12-03,254805
Sweden,2020-12-10,292592
Sweden,2020-12-17,334969
Sweden,2020-12-24,380451
Sweden,2020-12-31,418129
Sweden,2021-01-07,459906
Sweden,2021-01-14,499789
Sweden,2021-01-21,529791
Sweden,2021-01-28,553116
Sweden,2021-02-04,573754
Sweden,2021-02-11,593509
Sweden,2021-02-18,614592
Sweden,2021-02-25,637817
Sweden,2021-03-04,664854
Sweden,2021-03-11,692385
Sweden,2021-03-18,721351
Sweden,2021-03-25,753844
Sweden,2021-04-01,791323
Sweden,2021-04-08,830237
Sweden,2021-04-15,870437
Sweden,2021-04-22,911348
Sweden,2021-04-29,948136
Sweden,2021-05-06,983480
Sweden,2021-05-13,1017218
Sweden,2021-05-20,1043383
Sweden,2021-05-27,1062343
Sweden,2021-06-03,1068988
Sweden,2021-06-10,1079809
Sweden,2021-06-17,1084268
Sweden,2021-06-24,1087274
Sweden,2021-07-01,1089250
Sweden,2021-07-08,1091127
Sweden,2021-07-15,1092643
Sweden,2021-07-22,1094520
Sweden,2021-07-29,1097185
Sweden,2021-08-05,1100647
Sweden,2021-08-12,1105256
Sweden,2021-08-19,1111068
Sweden,2021-08-26,1117539
Sweden,2021-09-02,1124225
Sweden,2021-09-09,1131460
Sweden,2021-09-16,1139444
Sweden,2021-09-23,1145712
Sweden,2021-09-30,1150016
Sweden,2021-10-07,1154260
Sweden,2021-10-14,1158392
Sweden,2021-10-21,1162475
Sweden,2021-10-28,1167359
Sweden,2021-11-04,1173292
Sweden,2021-11-11,1178380
Sweden,2021-11-18,1184172
Sweden,2021-11-25,1191103
Sweden,2021-12-02,1202626
Sweden,2021-12-09,1216386
Sweden,2021-12-16,1234498
Sweden,2021-12-23,1258456
Sweden,2021-12-30,1286608
Sweden,2022-01-06,1342051
Sweden,2022-01-13,1456635
Sweden,2022-01-20,1615907
Sweden,2022-01-27,1863380
Sweden,2022-02-03,2144418
Sweden,2022-02-10,2335147
Sweden,2022-02-17,2406409
Sweden,2022-02-24,2428672
Sweden,2022-03-03,2446367
Sweden,2022-03-10,2459870
Sweden,2022-03-17,2469905
Sweden,2022-03-24,2478473
Sweden,2022-03-31,2485611
Sweden,2022-04-07,2490628
Sweden,2022-04-14,2494717
Sweden,2022-04-21,2497864
Sweden,2022-04-28,2500432
Sweden,2022-05-05,2502734
Sweden,2022-05-12,2504706
Sweden,2022-05-19,2506349
Sweden,2022-05-26,2508179
Sweden,2022-06-02,2509503
Sweden,2022-06-09,2510759
Sweden,2022-06-16,2512624
Sweden,2022-06-23,2514727
Sweden,2022-06-30,2517818
Sweden,2022-07-07,2521892
Sweden,2022-07-14,2526063
Sweden,2022-07-21,2531480
Sweden,2022-07-28,2537454
Sweden,2022-08-04,2543163
Sweden,2022-08-11,2549386
Sweden,2022-08-18,2556030
Sweden,2022-08-25,2562670
Sweden,2022-09-01,2567737
Sweden,2022-09-08,2572507
Sweden,2022-09-15,2577584
Sweden,2022-09-22,2582639
Sweden,2022-09-29,2587602
Sweden,2022-10-06,2601181
Sweden,2022-10-13,2605146
Sweden,2022-10-20,2608573
Sweden,2022-10-27,2611870
Sweden,2022-11-03,2615352
Sweden,2022-11-10,2618764
Sweden,2022-11-17,2622523
Sweden,2022-11-24,2626155
Sweden,2022-12-01,2630386
Sweden,2022-12-08,2636948
Sweden,2022-12-15,2646585
Sweden,2022-12-22,2659201
Sweden,2022-12-29,2671881
Sweden,2023-01-05,2681078
Sweden,2023-01-12,2687031
Sweden,2023-01-19,2690846
Sweden,2023-01-26,2692848
Sweden,2023-02-02,2694259
Sweden,2023-02-09,2695598
Sweden,2023-02-16,2696664
Sweden,2023-02-23,2697487
Sweden,2023-03-02,2698129
Sweden,2023-03-09,2698839
Sweden,2023-03-16,2699697
Sweden,2023-03-23,2700575
Sweden,2023-03-30,2700639
Sweden,2023-04-06,2701687
Sweden,2023-04-13,2702703
Sweden,2023-04-20,2703751
Sweden,2023-04-27,2704948
Sweden,2023-05-04,2706119
Sweden,2023-05-11,2707169
Sweden,2023-05-18,2708117
Sweden,2023-05-25,2709039
Sweden,2023-06-01,2709815
Sweden,2023-06-08,2710428
Sweden,2023-06-15,2710946
Sweden,2023-06-22,2711426
Sweden,2023-06-29,2711863
Sweden,2023-07-06,2712153
Sweden,2023-07-13,2712419
Sweden,2023-07-20,2712630
Sweden,2023-07-27,2712786
Sweden,2023-08-03,2712959
Sweden,2023-08-10,2713184
Sweden,2023-08-17,2713417
Sweden,2023-08-24,2713674
Sweden,2023-08-31,2714082
Sweden,2023-09-07,2714578
Sweden,2023-09-14,2715147
Sweden,2023-09-21,2715811
Sweden,2023-09-28,2716467
Sweden,2023-10-05,2717143
Sweden,2023-10-12,2717738
Sweden,2023-10-19,2718436
Sweden,2023-10-26,2719400
Sweden,2023-11-02,2720686
Sweden,2023-11-09,2723416
Sweden,2023-11-16,2726939
Sweden,2023-11-23,2730283
Sweden,2023-11-30,2733563
Sweden,2023-12-07,2736155
Sweden,2023-12-14,2739447
Sweden,2023-12-21,2742383
Sweden,2023-12-28,2744753
Sweden,2024-01-04,2746617
Sweden,2024-01-11,2747901
Sweden,2024-01-18,2748782
Sweden,2024-01-25,2749365
Sweden,2024-02-01,2749793
Sweden,2024-02-08,2750142
Sweden,2024-02-15,2750430
Sweden,2024-02-22,2750659
Sweden,2024-02-29,2750867
Sweden,2024-03-07,2751035
Sweden,2024-03-14,2751148
Sweden,2024-03-21,2751264
Sweden,2024-03-28,2751360
Sweden,2024-04-04,2751440
Sweden,2024-04-11,2751512
Sweden,2024-04-18,2751572
Sweden,2024-04-25,2751654
Sweden,2024-05-02,2751732
Sweden,2024-05-09,2751831
Sweden,2024-05-16,2751936
Sweden,2024-05-23,2752043
Sweden,2024-05-30,2752169
Sweden,2024-06-06,2752266
Sweden,2024-06-13,2752383
Sweden,2024-06-20,2752507
Sweden,2024-06-27,2752699
Sweden,2024-07-04,2752994
Sweden,2024-07-11,2753254
Sweden,2024-07-18,2753569
Sweden,2024-07-25,2753981
Sweden,2024-08-01,2754551
